label,n,pop_size,max_generations,Pc,Pm,eta_mut,best_run,best_fitness,best_f_value,best_x
p_generations_50,8,300,50,0.8,1.0,20.0,3,0.07092517902457049,13.099365186707132,"[-1.0329731  -0.98956983 -0.0111878  -1.96411845  0.02717057 -0.04069926
  1.06490788 -0.15214747]"
p_generations_100,8,300,100,0.8,1.0,20.0,2,0.0777750004608286,11.857601981033099,"[-0.02479915  0.0552857   1.92973034 -1.05665175 -0.05627066  1.09957756
 -0.06934755 -0.01508628]"
p_generations_200,8,300,200,0.8,1.0,20.0,0,0.07913780214604858,11.636186157337335,"[-2.02161826  0.01718832  0.00920357  0.08130356 -0.9713864  -0.02823961
  1.0852941  -1.07534136]"
p_generations_300,8,300,300,0.8,1.0,20.0,2,0.09397616026946835,9.640996579692,"[-0.03691463  1.06091979 -0.01098598 -0.04220648  0.08140374  0.01924224
 -1.93137345 -1.02220387]"
t_population_50,8,50,400,0.8,1.0,20.0,2,0.06323614196362055,14.813741460940093,"[-0.00305173 -0.07788962  0.07359322 -0.10308175 -0.00707639  0.15033817
 -1.15710363 -0.05245116]"
t_population_100,8,100,400,0.8,1.0,20.0,2,0.0777127869963187,11.867895215846147,"[-0.95761924 -0.99584722 -0.88966923 -1.09232164  1.01258429 -0.01054503
  0.9500332  -1.02750504]"
t_population_200,8,200,400,0.8,1.0,20.0,5,0.09737987647821476,9.269062111859569,"[-1.91824989  0.02979714  1.03945442 -0.02957323 -0.98167146  0.03818558
  0.00989214 -0.07945829]"
t_population_300,8,300,400,0.8,1.0,20.0,2,0.09397616026946835,9.640996579692,"[-0.03691463  1.06091979 -0.01098598 -0.04220648  0.08140374  0.01924224
 -1.93137345 -1.02220387]"
th_Pc_0.3,8,300,400,0.3,1.0,20.0,4,0.10077424792136619,8.923170062060862,"[-1.00211625  1.08093424 -0.06304892  0.11883154 -0.06636524 -0.97694419
 -0.00756373 -0.02243407]"
th_Pc_0.5,8,300,400,0.5,1.0,20.0,5,0.10082505469936963,8.918169675004918,"[ 0.08808022  0.12277859 -0.00155681 -0.00476738  0.97381293 -0.03739399
 -0.0079657   0.8872181 ]"
th_Pc_0.7,8,300,400,0.7,1.0,20.0,1,0.09135972350413318,9.945742408631077,"[ 0.05079397 -0.94485969  0.01869782  0.04854188  1.006384   -1.02433156
 -1.08410272 -1.08851769]"
th_Pc_0.9,8,300,400,0.9,1.0,20.0,0,0.09940719937927597,9.059633570246987,"[ 0.95302206 -1.02651317  0.03623689 -0.09188767 -0.94905837 -0.09702493
  1.02285806  0.03693623]"
j_eta_0.1,8,300,400,0.8,1.0,0.1,4,0.019238474079594878,50.97917443258358,"[ 1.95496425 -0.26512553 -0.05589377  1.73884767 -2.99203494 -1.01490986
  0.87815828  1.19112398]"
j_eta_0.5,8,300,400,0.8,1.0,0.5,5,0.021162421190065034,46.253572311917814,"[-1.83006575  0.95866179  1.56224517 -3.04953799  0.0891737  -0.03157893
 -0.03623804  0.89197843]"
j_eta_1.0,8,300,400,0.8,1.0,1.0,3,0.032466763010455486,29.800729955060916,"[-0.10713475 -0.15977847  0.17066886 -0.91848628  1.099788   -1.02118852
 -2.96658239  1.0772048 ]"
j_eta_2.0,8,300,400,0.8,1.0,2.0,4,0.03653727137312639,26.369312551771785,"[ 2.92915766 -0.84408922 -0.02828493  0.99949839  1.03426638 -1.210748
 -0.03039844 -0.00731282]"
j_eta_4.0,8,300,400,0.8,1.0,4.0,3,0.0486786222889028,19.5428985657215,"[ 2.02355073  1.03680724 -0.06559558  1.03581365 -2.92936346 -0.97419976
 -0.02670951  1.01300965]"
j_eta_20.0,8,300,400,0.8,1.0,20.0,2,0.09397616026946835,9.640996579692,"[-0.03691463  1.06091979 -0.01098598 -0.04220648  0.08140374  0.01924224
 -1.93137345 -1.02220387]"
